0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13
SEONI,0.00%,50.00%,50.00%,0.00%,100.00%,0.00%,50.00%,50.00%,0.00%,50.00%,50.00%,100.00%,0.00%,0.00%,100.00%,0.00%,SEONI,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%
DEWAS,0.00%,1.46%,98.54%,0.29%,97.37%,2.34%,74.27%,23.68%,2.05%,65.79%,34.21%,79.24%,20.76%,1.17%,71.05%,27.78%,DEWAS,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,96.20%,3.80%,56.73%,43.27%,74.11%,25.89%
SATNA,0.00%,50.00%,50.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,62.50%,37.50%,0.00%,100.00%,0.00%,75.00%,25.00%,SATNA,62.50%,37.50%,100.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,50.00%,50.00%,100.00%,0.00%
JABALPUR,0.00%,54.54%,45.46%,15.35%,82.71%,1.94%,99.31%,0.55%,0.14%,93.23%,6.77%,1.94%,98.06%,0.07%,95.72%,4.22%,JABALPUR,99.93%,0.07%,100.00%,0.00%,undefined%,undefined%,undefined%,98.06%,1.94%,90.38%,9.62%,99.79%,0.21%
DINDORI,9.97%,79.29%,10.74%,0.00%,82.83%,17.17%,95.50%,4.37%,0.13%,96.01%,3.99%,1.48%,98.52%,27.15%,72.52%,0.32%,DINDORI,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,98.78%,1.22%,55.24%,44.76%,99.94%,0.06%
MAUGANJ,0.00%,37.14%,62.86%,0.95%,97.14%,1.90%,99.05%,0.00%,0.95%,91.43%,8.57%,0.95%,99.05%,1.90%,96.19%,1.90%,MAUGANJ,99.05%,0.95%,100.00%,0.00%,undefined%,undefined%,undefined%,54.29%,45.71%,5.71%,94.29%,97.14%,2.86%
NARSINGHPUR,0.12%,1.60%,98.28%,12.47%,66.71%,20.82%,86.92%,10.93%,2.15%,35.95%,64.05%,9.09%,90.91%,0.31%,34.45%,65.24%,NARSINGHPUR,100.00%,0.00%,98.02%,1.98%,undefined%,undefined%,undefined%,35.10%,64.90%,84.44%,15.56%,98.83%,1.17%
ALIRAJPUR,0.19%,12.68%,87.13%,0.53%,98.86%,0.61%,49.81%,49.62%,0.57%,70.68%,29.32%,65.00%,35.00%,52.86%,35.47%,11.67%,ALIRAJPUR,62.75%,37.25%,69.61%,30.39%,undefined%,undefined%,undefined%,69.02%,30.98%,11.23%,88.77%,93.37%,6.63%
CHHINDWARA,8.47%,79.71%,11.82%,4.54%,84.19%,11.27%,93.61%,4.54%,1.84%,97.75%,2.25%,50.99%,49.01%,6.08%,65.46%,28.46%,CHHINDWARA,98.94%,1.06%,99.35%,0.65%,undefined%,undefined%,undefined%,84.80%,15.20%,52.75%,47.25%,96.25%,3.75%
BURHANPUR,0.00%,14.71%,85.29%,0.00%,88.24%,11.76%,83.82%,13.24%,2.94%,60.29%,39.71%,20.59%,79.41%,0.00%,61.76%,38.24%,BURHANPUR,77.94%,22.06%,94.12%,5.88%,undefined%,undefined%,undefined%,32.35%,67.65%,67.65%,32.35%,63.24%,36.76%
GUNA,0.05%,2.64%,97.31%,0.14%,97.24%,2.63%,0.11%,99.20%,0.69%,93.45%,6.55%,15.83%,84.17%,2.15%,55.66%,42.19%,GUNA,98.44%,1.56%,99.95%,0.05%,undefined%,undefined%,undefined%,83.54%,16.46%,53.35%,46.65%,95.99%,4.01%
MORENA,0.07%,10.75%,89.18%,4.83%,86.06%,9.11%,53.15%,39.99%,6.86%,59.69%,40.31%,63.16%,36.84%,53.06%,29.21%,17.73%,MORENA,85.92%,14.08%,92.79%,7.21%,undefined%,undefined%,undefined%,68.14%,31.86%,11.47%,88.53%,80.21%,19.79%
KATNI,0.39%,37.01%,62.60%,1.18%,33.07%,65.75%,53.54%,45.28%,1.18%,72.05%,27.95%,0.39%,99.61%,4.33%,90.94%,4.72%,KATNI,91.34%,8.66%,100.00%,0.00%,undefined%,undefined%,undefined%,90.94%,9.06%,8.27%,91.73%,89.76%,10.24%
NEEMUCH,0.35%,36.68%,62.98%,0.00%,65.05%,34.95%,91.00%,7.96%,1.04%,87.89%,12.11%,45.67%,54.33%,0.35%,53.63%,46.02%,NEEMUCH,99.65%,0.35%,100.00%,0.00%,undefined%,undefined%,undefined%,61.25%,38.75%,42.01%,57.99%,98.27%,1.73%
SHAJAPUR,0.07%,11.58%,88.34%,16.10%,80.73%,3.17%,16.25%,79.31%,4.44%,51.44%,48.56%,51.66%,48.34%,2.40%,66.74%,30.86%,SHAJAPUR,82.95%,17.05%,86.92%,13.08%,undefined%,undefined%,undefined%,65.38%,34.62%,33.77%,66.23%,94.34%,5.66%
SHAHDOL,0.00%,0.00%,100.00%,0.00%,50.00%,50.00%,100.00%,0.00%,0.00%,50.00%,50.00%,0.00%,100.00%,100.00%,0.00%,0.00%,SHAHDOL,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%
CHHATARPUR,0.00%,0.00%,100.00%,20.00%,80.00%,0.00%,100.00%,0.00%,0.00%,30.00%,70.00%,10.00%,90.00%,10.00%,60.00%,30.00%,CHHATARPUR,100.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,33.33%,66.67%,100.00%,0.00%,100.00%,0.00%
MANDLA,0.05%,38.59%,61.36%,0.62%,92.57%,6.81%,79.91%,17.98%,2.11%,82.60%,17.40%,15.24%,84.76%,42.67%,47.22%,10.12%,MANDLA,73.96%,26.04%,94.10%,5.90%,undefined%,undefined%,undefined%,12.56%,87.44%,45.25%,54.75%,56.58%,43.42%
RATLAM,0.11%,3.09%,96.80%,0.29%,91.13%,8.59%,99.17%,0.47%,0.35%,55.98%,44.02%,41.41%,58.59%,0.47%,15.55%,83.98%,RATLAM,99.93%,0.07%,99.97%,0.03%,undefined%,undefined%,undefined%,95.59%,4.41%,81.72%,18.28%,99.48%,0.52%
BALAGHAT,1.01%,85.52%,13.47%,1.68%,78.45%,19.87%,89.56%,8.08%,2.36%,95.29%,4.71%,19.53%,80.47%,26.44%,72.88%,0.68%,BALAGHAT,99.66%,0.34%,96.67%,3.33%,undefined%,undefined%,undefined%,99.66%,0.34%,92.23%,7.77%,100.00%,0.00%
UMARIA,2.84%,41.39%,55.76%,1.00%,91.47%,7.54%,27.31%,68.71%,3.98%,54.36%,45.64%,60.17%,39.83%,24.89%,47.23%,27.88%,UMARIA,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,90.16%,9.84%,29.91%,70.09%,94.96%,5.04%
EAST NIMAR,0.04%,16.53%,83.43%,0.49%,61.15%,38.36%,79.32%,19.89%,0.80%,94.14%,5.86%,60.49%,39.51%,0.27%,68.07%,31.66%,EAST NIMAR,99.69%,0.31%,97.62%,2.38%,undefined%,undefined%,undefined%,95.60%,4.40%,71.41%,28.59%,99.73%,0.27%
VIDISHA,0.12%,1.96%,97.92%,0.36%,97.44%,2.20%,95.50%,3.90%,0.61%,54.41%,45.59%,33.19%,66.81%,0.04%,77.88%,22.08%,VIDISHA,99.64%,0.36%,99.86%,0.14%,undefined%,undefined%,undefined%,98.22%,1.78%,93.58%,6.42%,99.46%,0.54%
HARDA,0.00%,24.29%,75.71%,0.00%,100.00%,0.00%,71.43%,28.57%,0.00%,100.00%,0.00%,94.29%,5.71%,0.00%,94.29%,5.71%,HARDA,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,62.86%,37.14%,100.00%,0.00%
RAISEN,0.00%,9.08%,90.92%,0.07%,96.20%,3.72%,99.89%,0.00%,0.11%,73.39%,26.61%,0.04%,99.96%,0.00%,4.19%,95.81%,RAISEN,99.93%,0.07%,96.38%,3.62%,undefined%,undefined%,undefined%,96.84%,3.16%,62.95%,37.05%,99.96%,0.04%
PANNA,0.43%,95.33%,4.23%,0.11%,99.57%,0.33%,98.15%,0.54%,1.30%,99.24%,0.76%,99.35%,0.65%,1.09%,98.05%,0.87%,PANNA,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,72.86%,27.14%,2.06%,97.94%,99.57%,0.43%
SHIVPURI,0.47%,14.15%,85.38%,23.00%,71.60%,5.41%,20.68%,77.24%,2.09%,72.39%,27.61%,53.87%,46.13%,12.20%,52.10%,35.70%,SHIVPURI,80.53%,19.47%,97.19%,2.81%,undefined%,undefined%,undefined%,88.20%,11.80%,45.56%,54.44%,97.64%,2.36%
ASHOKNAGAR,0.20%,4.73%,95.07%,0.38%,96.26%,3.36%,73.70%,25.95%,0.35%,70.62%,29.38%,2.68%,97.32%,0.18%,50.22%,49.60%,ASHOKNAGAR,99.96%,0.04%,99.82%,0.18%,undefined%,undefined%,undefined%,94.40%,5.60%,45.70%,54.30%,99.82%,0.18%
TIKAMGARH,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,TIKAMGARH,100.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%
BHOPAL,0.00%,33.12%,66.88%,0.00%,70.70%,29.30%,95.54%,4.46%,0.00%,58.60%,41.40%,12.10%,87.90%,0.00%,67.52%,32.48%,BHOPAL,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,85.35%,14.65%,45.86%,54.14%,98.09%,1.91%
INDORE,0.00%,0.17%,99.83%,0.00%,87.45%,12.55%,99.75%,0.00%,0.25%,50.12%,49.88%,27.93%,72.07%,1.75%,72.73%,25.52%,INDORE,99.25%,0.75%,100.00%,0.00%,undefined%,undefined%,undefined%,87.02%,12.98%,62.01%,37.99%,89.19%,10.81%
AGAR MALWA,0.05%,50.63%,49.32%,1.68%,72.06%,26.26%,83.34%,2.17%,14.49%,68.51%,31.49%,58.33%,41.67%,18.69%,67.48%,13.83%,AGAR MALWA,67.30%,32.70%,73.29%,26.71%,undefined%,undefined%,undefined%,62.68%,37.32%,30.48%,69.52%,88.74%,11.26%
BARWANI,0.05%,41.15%,58.80%,0.48%,94.69%,4.83%,83.83%,15.44%,0.73%,96.79%,3.21%,88.08%,11.92%,6.96%,66.11%,26.93%,BARWANI,98.93%,1.07%,99.55%,0.45%,undefined%,undefined%,undefined%,91.82%,8.18%,62.71%,37.29%,47.10%,52.90%
