0,1,2,3,4,5,6,7,8,9,10,11,12,13
LUDHIANA,0.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
FARIDKOT,98.32%,1.68%,100.00%,0.00%,undefined%,undefined%,undefined%,68.88%,31.12%,94.39%,5.61%,10.83%,89.17%
FEROZEPUR,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,100.00%,0.00%,0.00%,100.00%
PATIALA,100.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,96.23%,3.77%,92.31%,7.69%,100.00%,0.00%
BATHINDA,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,79.10%,20.90%,100.00%,0.00%,100.00%,0.00%
SANGRUR,98.73%,1.27%,0.00%,0.00%,undefined%,undefined%,undefined%,63.27%,36.73%,96.19%,3.81%,72.32%,27.68%
GURDASPUR,0.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
