SIVAGANGA,0.04%,0.57%,99.38%,12.98%,67.56%,19.46%,90.22%,8.88%,0.90%,1.83%,98.17%,12.36%,87.64%,31.06%,30.29%,38.65%,SIVAGANGA,97.29%,2.71%,95.93%,4.07%,undefined%,undefined%,undefined%,94.17%,5.83%,8.17%,91.83%,98.64%,1.36%
RAMANATHAPURAM,0.13%,0.02%,99.85%,1.47%,73.47%,25.07%,96.99%,2.60%,0.41%,0.95%,99.05%,35.90%,64.10%,11.17%,42.19%,46.64%,RAMANATHAPURAM,99.95%,0.05%,99.92%,0.08%,undefined%,undefined%,undefined%,98.86%,1.14%,0.79%,99.21%,99.72%,0.28%
THENI,0.08%,0.08%,99.84%,12.73%,80.08%,7.19%,72.30%,23.59%,4.10%,2.42%,97.58%,22.07%,77.93%,12.93%,56.72%,30.35%,THENI,99.49%,0.51%,98.63%,1.37%,undefined%,undefined%,undefined%,55.59%,44.41%,33.83%,66.17%,77.70%,22.30%
TIRUCHIRAPPALLI,0.02%,0.02%,99.95%,25.19%,37.80%,37.01%,88.61%,9.78%,1.60%,0.67%,99.33%,7.35%,92.65%,4.93%,29.08%,65.99%,TIRUCHIRAPPALLI,99.57%,0.43%,99.82%,0.18%,undefined%,undefined%,undefined%,77.77%,22.23%,90.06%,9.94%,95.72%,4.28%
VIRUDHUNAGAR,0.14%,0.11%,99.74%,4.91%,30.30%,64.79%,80.01%,12.94%,7.04%,13.62%,86.38%,7.33%,92.67%,2.53%,9.95%,87.52%,VIRUDHUNAGAR,85.65%,14.35%,85.58%,14.42%,undefined%,undefined%,undefined%,10.59%,89.41%,17.73%,82.27%,95.00%,5.00%
KARUR,0.03%,0.28%,99.69%,11.66%,59.49%,28.85%,80.09%,16.80%,3.11%,6.59%,93.41%,14.01%,85.99%,11.19%,19.27%,69.53%,KARUR,95.13%,4.87%,98.89%,1.11%,undefined%,undefined%,undefined%,35.37%,64.63%,40.50%,59.50%,69.26%,30.74%
DINDIGUL,0.05%,0.99%,98.96%,1.51%,56.18%,42.31%,95.62%,3.89%,0.49%,1.15%,98.85%,13.23%,86.77%,9.08%,26.89%,64.03%,DINDIGUL,99.89%,0.11%,60.56%,39.44%,undefined%,undefined%,undefined%,74.15%,25.85%,98.05%,1.95%,90.00%,10.00%
Tirupathur,0.00%,0.28%,99.72%,26.20%,67.92%,5.88%,33.80%,34.90%,31.30%,3.60%,96.40%,35.83%,64.17%,1.82%,42.35%,55.83%,Tirupathur,95.96%,4.04%,93.08%,6.92%,undefined%,undefined%,undefined%,21.73%,78.27%,51.53%,48.47%,17.92%,82.08%
Mayiladuthurai,0.06%,0.02%,99.91%,11.51%,74.01%,14.48%,87.28%,12.08%,0.64%,1.30%,98.70%,12.14%,87.86%,14.43%,68.57%,17.00%,Mayiladuthurai,93.21%,6.79%,99.49%,0.51%,undefined%,undefined%,undefined%,96.19%,3.81%,76.65%,23.35%,81.46%,18.54%
KANCHIPURAM,0.07%,0.07%,99.85%,19.65%,74.29%,6.05%,77.15%,20.87%,1.98%,2.60%,97.40%,4.66%,95.34%,14.09%,69.43%,16.48%,KANCHIPURAM,93.48%,6.52%,84.80%,15.20%,undefined%,undefined%,undefined%,31.15%,68.85%,69.64%,30.36%,70.59%,29.41%
