0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
BALAGHAT,1.01%,85.52%,13.47%,1.68%,78.45%,19.87%,89.56%,8.08%,2.36%,95.29%,4.71%,19.53%,80.47%,26.44%,72.88%,0.68%
UMARIA,2.84%,41.39%,55.76%,1.00%,91.47%,7.54%,27.31%,68.71%,3.98%,54.36%,45.64%,60.17%,39.83%,24.89%,47.23%,27.88%
EAST NIMAR,0.04%,16.53%,83.43%,0.49%,61.15%,38.36%,79.32%,19.89%,0.80%,94.14%,5.86%,60.49%,39.51%,0.27%,68.07%,31.66%
VIDISHA,0.12%,1.96%,97.92%,0.36%,97.44%,2.20%,95.50%,3.90%,0.61%,54.41%,45.59%,33.19%,66.81%,0.04%,77.88%,22.08%
HARDA,0.00%,24.29%,75.71%,0.00%,100.00%,0.00%,71.43%,28.57%,0.00%,100.00%,0.00%,94.29%,5.71%,0.00%,94.29%,5.71%
RAISEN,0.00%,9.08%,90.92%,0.07%,96.20%,3.72%,99.89%,0.00%,0.11%,73.39%,26.61%,0.04%,99.96%,0.00%,4.19%,95.81%
PANNA,0.43%,95.33%,4.23%,0.11%,99.57%,0.33%,98.15%,0.54%,1.30%,99.24%,0.76%,99.35%,0.65%,1.09%,98.05%,0.87%
SHIVPURI,0.47%,14.15%,85.38%,23.00%,71.60%,5.41%,20.68%,77.24%,2.09%,72.39%,27.61%,53.87%,46.13%,12.20%,52.10%,35.70%
ASHOKNAGAR,0.20%,4.73%,95.07%,0.38%,96.26%,3.36%,73.70%,25.95%,0.35%,70.62%,29.38%,2.68%,97.32%,0.18%,50.22%,49.60%
TIKAMGARH,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%
BHOPAL,0.00%,33.12%,66.88%,0.00%,70.70%,29.30%,95.54%,4.46%,0.00%,58.60%,41.40%,12.10%,87.90%,0.00%,67.52%,32.48%
INDORE,0.00%,0.17%,99.83%,0.00%,87.45%,12.55%,99.75%,0.00%,0.25%,50.12%,49.88%,27.93%,72.07%,1.75%,72.73%,25.52%
AGAR MALWA,0.05%,50.63%,49.32%,1.68%,72.06%,26.26%,83.34%,2.17%,14.49%,68.51%,31.49%,58.33%,41.67%,18.69%,67.48%,13.83%
BARWANI,0.05%,41.15%,58.80%,0.48%,94.69%,4.83%,83.83%,15.44%,0.73%,96.79%,3.21%,88.08%,11.92%,6.96%,66.11%,26.93%
