0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SOUTH GOA,19.64%,67.72%,12.64%,9.09%,32.86%,58.05%,58.41%,27.56%,14.03%,97.25%,2.75%,7.75%,92.25%,89.96%,9.35%,0.69%
NORTH GOA,45.05%,18.12%,36.83%,42.00%,27.33%,30.67%,68.21%,23.22%,8.58%,73.79%,26.21%,27.97%,72.03%,92.20%,7.20%,0.60%
