0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13
UDHAMPUR,34.56%,52.58%,12.86%,2.86%,83.42%,13.72%,19.22%,54.13%,26.64%,78.61%,21.39%,16.64%,83.36%,1.73%,96.68%,1.59%,UDHAMPUR,50.62%,49.38%,93.40%,6.60%,undefined%,undefined%,undefined%,51.34%,48.66%,56.14%,43.86%,24.88%,75.12%
JAMMU,2.45%,62.45%,35.10%,0.95%,98.97%,0.08%,77.94%,21.00%,1.05%,43.72%,56.28%,84.38%,15.62%,0.79%,94.30%,4.91%,JAMMU,99.95%,0.05%,99.87%,0.13%,undefined%,undefined%,undefined%,98.60%,1.40%,95.13%,4.87%,99.29%,0.71%
KISHTWAR,3.71%,90.67%,5.62%,1.57%,97.98%,0.45%,54.72%,45.06%,0.22%,81.78%,18.22%,99.10%,0.90%,6.18%,75.96%,17.87%,KISHTWAR,55.62%,44.38%,86.36%,13.64%,undefined%,undefined%,undefined%,37.30%,62.70%,31.57%,68.43%,26.98%,73.02%
KUPWARA,2.87%,73.59%,23.54%,9.18%,90.74%,0.08%,56.65%,42.99%,0.36%,93.69%,6.31%,83.73%,16.27%,4.82%,79.28%,15.90%,KUPWARA,98.28%,1.72%,99.85%,0.15%,undefined%,undefined%,undefined%,36.83%,63.17%,88.33%,11.67%,28.45%,71.55%
RAJOURI,75.04%,24.73%,0.23%,0.15%,91.54%,8.31%,74.08%,25.81%,0.12%,99.96%,0.04%,3.12%,96.88%,0.15%,55.73%,44.12%,RAJOURI,99.58%,0.42%,0.00%,100.00%,undefined%,undefined%,undefined%,99.77%,0.23%,73.46%,26.54%,99.92%,0.08%
SRINAGAR,4.88%,49.92%,45.20%,3.82%,96.18%,0.00%,89.43%,9.19%,1.38%,63.17%,36.83%,38.86%,61.14%,6.91%,36.42%,56.67%,SRINAGAR,98.46%,1.54%,100.00%,0.00%,undefined%,undefined%,undefined%,70.81%,29.19%,94.23%,5.77%,98.70%,1.30%
Budgam,0.33%,52.93%,46.74%,6.65%,93.12%,0.23%,56.46%,42.39%,1.14%,94.08%,5.92%,20.77%,79.23%,0.60%,88.13%,11.27%,Budgam,99.19%,0.81%,95.72%,4.28%,undefined%,undefined%,undefined%,28.91%,71.09%,19.88%,80.12%,89.29%,10.71%
KULGAM,0.07%,36.26%,63.67%,52.46%,47.19%,0.36%,38.80%,43.28%,17.92%,97.98%,2.02%,33.60%,66.40%,69.69%,29.11%,1.20%,KULGAM,95.92%,4.08%,98.44%,1.56%,undefined%,undefined%,undefined%,36.98%,63.02%,80.40%,19.60%,55.55%,44.45%
ANANTNAG,28.39%,60.06%,11.56%,1.88%,86.42%,11.69%,80.86%,17.42%,1.72%,89.63%,10.37%,39.13%,60.87%,13.72%,62.99%,23.30%,ANANTNAG,98.46%,1.54%,98.40%,1.60%,undefined%,undefined%,undefined%,77.29%,22.71%,80.77%,19.23%,69.56%,30.44%
POONCH,88.44%,11.33%,0.22%,4.22%,88.72%,7.06%,84.78%,10.28%,4.94%,100.00%,0.00%,65.89%,34.11%,14.72%,75.22%,10.06%,POONCH,88.17%,11.83%,100.00%,0.00%,undefined%,undefined%,undefined%,78.61%,21.39%,99.89%,0.11%,52.31%,47.69%
BARAMULLA,4.73%,55.02%,40.25%,29.12%,67.36%,3.53%,63.68%,35.68%,0.64%,53.65%,46.35%,21.03%,78.97%,11.79%,86.20%,2.02%,BARAMULLA,99.98%,0.02%,57.25%,42.75%,undefined%,undefined%,undefined%,94.53%,5.47%,79.53%,20.47%,95.15%,4.85%
