0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SHAMLI,0.00%,0.00%,100.00%,0.16%,79.44%,20.40%,27.32%,53.24%,19.44%,58.67%,41.33%,58.40%,41.60%,0.04%,59.60%,40.36%
JAUNPUR,0.22%,0.03%,99.75%,0.19%,68.45%,31.36%,40.14%,52.82%,7.04%,3.02%,96.98%,83.83%,16.17%,0.08%,42.20%,57.72%
GONDA,0.18%,0.07%,99.75%,0.89%,77.10%,22.01%,10.95%,85.93%,3.13%,9.96%,90.04%,20.21%,79.79%,0.49%,84.56%,14.95%
KAUSHAMBI,0.00%,0.00%,100.00%,0.00%,96.79%,3.21%,99.96%,0.02%,0.02%,0.04%,99.96%,96.79%,3.21%,0.00%,33.00%,67.00%
FIROZABAD,0.07%,0.00%,99.93%,0.50%,83.73%,15.77%,60.38%,35.19%,4.43%,15.17%,84.83%,60.94%,39.06%,0.11%,2.06%,97.83%
PILIBHIT,0.06%,0.00%,99.94%,0.37%,73.74%,25.89%,25.17%,64.63%,10.20%,19.14%,80.86%,8.34%,91.66%,3.14%,85.34%,11.52%
BASTI,0.13%,0.12%,99.75%,4.04%,94.92%,1.05%,21.55%,66.34%,12.12%,1.68%,98.32%,68.53%,31.47%,8.52%,56.52%,34.95%
GAUTAM BUDDHA NAGAR,0.00%,17.27%,82.73%,0.64%,52.64%,46.72%,55.71%,41.94%,2.35%,17.43%,82.57%,94.86%,5.14%,0.50%,6.70%,92.80%
SITAPUR,0.24%,0.05%,99.71%,2.26%,93.34%,4.39%,26.51%,71.72%,1.77%,5.69%,94.31%,48.98%,51.02%,0.24%,46.79%,52.97%
LALITPUR,0.03%,10.20%,89.77%,0.07%,53.20%,46.73%,91.57%,8.00%,0.43%,38.93%,61.07%,21.47%,78.53%,0.00%,73.77%,26.23%
BANDA,0.13%,0.00%,99.88%,0.35%,96.96%,2.69%,10.25%,80.69%,9.06%,11.67%,88.33%,5.19%,94.81%,0.02%,59.90%,40.08%
MORADABAD,0.25%,0.04%,99.71%,1.27%,88.50%,10.23%,14.17%,72.02%,13.81%,27.48%,72.52%,88.02%,11.98%,0.85%,72.58%,26.57%
FATEHPUR,0.00%,0.00%,100.00%,0.02%,99.28%,0.70%,99.99%,0.01%,0.00%,0.07%,99.93%,97.54%,2.46%,0.12%,46.05%,53.83%
AMBEDKAR NAGAR,0.02%,0.02%,99.96%,0.13%,57.09%,42.78%,31.06%,68.41%,0.54%,0.78%,99.22%,42.04%,57.96%,0.11%,61.22%,38.67%
JHANSI,0.05%,1.23%,98.72%,0.75%,52.36%,46.89%,96.07%,2.93%,1.00%,26.61%,73.39%,43.00%,57.00%,0.05%,48.96%,50.99%
HARDOI,0.19%,0.00%,99.81%,0.54%,98.94%,0.53%,97.16%,2.08%,0.76%,16.28%,83.72%,3.47%,96.53%,0.05%,37.79%,62.16%
GHAZIPUR,0.09%,0.01%,99.90%,0.17%,52.60%,47.23%,59.26%,31.52%,9.22%,1.61%,98.39%,58.83%,41.17%,0.03%,19.93%,80.04%
SULTANPUR,0.26%,0.02%,99.71%,1.87%,79.52%,18.61%,32.98%,63.85%,3.18%,8.38%,91.62%,70.82%,29.18%,0.45%,44.51%,55.04%
BULANDSHAHR,0.05%,7.50%,92.45%,0.33%,79.52%,20.14%,42.53%,56.95%,0.52%,8.22%,91.78%,81.59%,18.41%,0.09%,60.33%,39.58%
SANT KABEER NAGAR,0.00%,0.28%,99.72%,0.19%,79.57%,20.24%,35.76%,63.98%,0.26%,0.39%,99.61%,34.63%,65.37%,0.20%,63.72%,36.08%
AYODHYA,0.17%,4.08%,95.76%,1.84%,60.12%,38.05%,25.04%,62.26%,12.70%,5.70%,94.30%,80.85%,19.15%,1.53%,82.21%,16.26%
PRAYAGRAJ,0.00%,0.00%,100.00%,0.00%,91.10%,8.90%,99.58%,0.42%,0.00%,2.92%,97.08%,93.75%,6.25%,0.00%,44.43%,55.57%
PRATAPGARH,0.00%,0.00%,100.00%,0.00%,99.94%,0.06%,38.39%,61.60%,0.01%,0.05%,99.95%,44.12%,55.88%,0.04%,53.35%,46.61%
Kasganj,0.31%,10.74%,88.94%,0.26%,86.26%,13.49%,22.09%,77.29%,0.63%,1.69%,98.31%,99.94%,0.06%,0.06%,51.60%,48.34%
MIRZAPUR,0.06%,0.00%,99.94%,0.29%,54.78%,44.93%,84.83%,13.21%,1.96%,27.22%,72.78%,7.91%,92.09%,0.07%,64.83%,35.10%
RAMPUR,0.00%,0.03%,99.97%,0.73%,90.77%,8.50%,8.83%,78.43%,12.73%,27.10%,72.90%,36.80%,63.20%,3.90%,72.32%,23.77%
MEERUT,0.19%,17.71%,82.10%,0.31%,82.82%,16.88%,52.39%,46.04%,1.57%,18.54%,81.46%,72.67%,27.33%,0.22%,38.03%,61.75%
MAINPURI,0.06%,0.07%,99.87%,2.70%,84.20%,13.09%,76.50%,18.93%,4.57%,16.98%,83.02%,78.52%,21.48%,9.74%,39.78%,50.48%
DEORIA,0.31%,0.04%,99.65%,1.39%,80.93%,17.69%,7.54%,90.44%,2.02%,39.97%,60.03%,51.84%,48.16%,0.46%,93.62%,5.92%
JALAUN,0.04%,0.09%,99.87%,0.04%,86.74%,13.22%,99.65%,0.02%,0.33%,6.59%,93.41%,0.11%,99.89%,0.02%,89.86%,10.12%
BARABANKI,0.32%,12.37%,87.31%,0.94%,76.85%,22.20%,11.00%,80.51%,8.49%,22.97%,77.03%,67.89%,32.11%,2.66%,67.03%,30.31%
LUCKNOW,0.17%,0.00%,99.83%,0.29%,79.90%,19.81%,55.38%,37.97%,6.64%,41.01%,58.99%,64.54%,35.46%,0.00%,39.05%,60.95%
AGRA,0.24%,0.22%,99.53%,1.94%,92.72%,5.33%,79.23%,19.51%,1.27%,6.50%,93.50%,79.67%,20.33%,0.17%,28.23%,71.60%
SHRAVASTI,0.00%,0.04%,99.96%,0.68%,78.16%,21.16%,13.84%,76.24%,9.92%,7.44%,92.56%,31.93%,68.07%,8.00%,67.48%,24.52%
VARANASI,0.00%,0.00%,100.00%,0.23%,54.38%,45.40%,34.15%,65.67%,0.19%,3.46%,96.54%,23.08%,76.92%,0.02%,15.08%,84.90%
HATHRAS,0.05%,1.43%,98.52%,0.12%,99.31%,0.57%,31.95%,66.64%,1.40%,1.62%,98.38%,79.19%,20.81%,0.17%,56.37%,43.46%
MUZAFFARNAGAR,0.11%,0.00%,99.89%,0.17%,96.26%,3.57%,3.28%,82.30%,14.42%,29.55%,70.45%,31.38%,68.62%,0.04%,49.45%,50.51%
ETAWAH,0.21%,27.00%,72.79%,0.06%,90.21%,9.73%,80.54%,19.40%,0.06%,9.10%,90.90%,11.25%,88.75%,0.04%,54.23%,45.73%
SIDDHARTH NAGAR,0.13%,0.08%,99.79%,0.52%,58.32%,41.15%,11.63%,87.40%,0.96%,52.04%,47.96%,0.83%,99.17%,0.06%,69.04%,30.90%
