0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NAMSAI,0.00%,43.75%,56.25%,16.08%,82.52%,1.40%,13.85%,4.62%,81.54%,25.00%,75.00%,0.00%,100.00%,77.78%,22.22%,0.00%
UPPER SUBANSIRI,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,47.00%,51.00%,2.00%,100.00%,0.00%,22.00%,78.00%,99.00%,0.00%,1.00%
KAMLE,0.00%,95.24%,4.76%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,28.57%,71.43%,100.00%,0.00%,0.00%
WEST KAMENG,68.89%,27.78%,3.33%,0.00%,16.67%,83.33%,85.56%,12.22%,2.22%,95.56%,4.44%,100.00%,0.00%,71.11%,28.89%,0.00%
LOWER SIANG,95.77%,4.23%,0.00%,2.82%,92.96%,4.23%,38.03%,52.11%,9.86%,100.00%,0.00%,4.23%,95.77%,100.00%,0.00%,0.00%
PAPUM PARE,0.00%,99.22%,0.78%,0.00%,99.22%,0.78%,27.13%,72.87%,0.00%,100.00%,0.00%,7.75%,92.25%,99.22%,0.78%,0.00%
EAST KAMENG,85.71%,14.29%,0.00%,1.02%,97.96%,1.02%,91.84%,8.16%,0.00%,98.98%,1.02%,65.31%,34.69%,89.80%,10.20%,0.00%
EAST SIANG,98.47%,1.53%,0.00%,0.00%,95.42%,4.58%,62.60%,35.11%,2.29%,100.00%,0.00%,9.16%,90.84%,100.00%,0.00%,0.00%
SIANG,98.73%,0.00%,1.27%,0.00%,96.20%,3.80%,64.56%,31.65%,3.80%,100.00%,0.00%,10.13%,89.87%,100.00%,0.00%,0.00%
DIBANG VALLEY,24.00%,64.00%,12.00%,29.73%,0.00%,70.27%,26.53%,0.00%,73.47%,88.00%,12.00%,30.00%,70.00%,62.00%,38.00%,0.00%
KURUNG KUMEY,0.00%,98.67%,1.33%,0.00%,100.00%,0.00%,61.64%,38.36%,0.00%,98.67%,1.33%,24.00%,76.00%,100.00%,0.00%,0.00%
KRA DAADI,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,46.34%,52.44%,1.22%,100.00%,0.00%,22.89%,77.11%,98.80%,1.20%,0.00%
LOWER SUBANSIRI,0.00%,62.16%,37.84%,0.00%,100.00%,0.00%,73.87%,25.23%,0.90%,99.10%,0.90%,2.70%,97.30%,92.79%,7.21%,0.00%
CHANGLANG,0.85%,98.31%,0.85%,0.00%,100.00%,0.00%,77.97%,21.19%,0.85%,99.15%,0.85%,12.71%,87.29%,100.00%,0.00%,0.00%
LEPARADA,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,19.70%,80.30%,95.45%,4.55%,0.00%
ANJAW,0.00%,30.00%,70.00%,1.67%,81.67%,16.67%,75.00%,0.00%,25.00%,3.33%,96.67%,0.00%,100.00%,93.33%,6.67%,0.00%
TAWANG,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,14.44%,85.56%,0.00%,100.00%,0.00%,10.00%,90.00%,94.44%,5.56%,0.00%
LOHIT,0.00%,67.62%,32.38%,0.00%,100.00%,0.00%,40.23%,19.54%,40.23%,28.57%,71.43%,0.00%,100.00%,76.19%,21.90%,1.90%
WEST SIANG,96.90%,3.10%,0.00%,0.00%,96.90%,3.10%,64.34%,33.33%,2.33%,100.00%,0.00%,6.98%,93.02%,100.00%,0.00%,0.00%
SHI YOMI,0.00%,2.86%,97.14%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,67.14%,32.86%,95.71%,4.29%,0.00%
PAKKE KESSANG,50.00%,48.75%,1.25%,1.25%,97.50%,1.25%,98.75%,1.25%,0.00%,100.00%,0.00%,97.50%,2.50%,100.00%,0.00%,0.00%
LOWER DIBANG VALLEY,29.00%,60.00%,11.00%,42.05%,9.09%,48.86%,21.00%,17.00%,62.00%,89.80%,10.20%,37.00%,63.00%,99.00%,1.00%,0.00%
UPPER SIANG,0.00%,1.25%,98.75%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,52.50%,47.50%,100.00%,0.00%,0.00%
LONGDING,2.60%,94.81%,2.60%,6.49%,72.73%,20.78%,96.10%,3.90%,0.00%,37.66%,62.34%,41.56%,58.44%,98.70%,0.00%,1.30%
TIRAP,22.73%,76.36%,0.91%,7.27%,92.73%,0.00%,77.27%,22.73%,0.00%,82.73%,17.27%,0.00%,100.00%,100.00%,0.00%,0.00%
