0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
LUDHIANA,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
FARIDKOT,0.00%,0.00%,100.00%,4.42%,54.64%,40.94%,27.27%,21.30%,51.43%,57.22%,42.78%,36.35%,63.65%,0.27%,6.80%,92.94%
FEROZEPUR,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%
PATIALA,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,28.30%,71.70%,43.40%,56.60%,0.00%,0.00%,100.00%
BATHINDA,0.00%,88.06%,11.94%,0.00%,85.07%,14.93%,40.30%,53.73%,5.97%,98.51%,1.49%,70.15%,29.85%,0.00%,1.49%,98.51%
SANGRUR,0.00%,0.00%,0.00%,0.00%,80.51%,19.49%,2.33%,89.83%,7.84%,68.64%,31.36%,31.57%,68.43%,0.00%,15.47%,84.53%
GURDASPUR,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,82.35%,17.65%,5.88%,94.12%,0.00%,23.53%,76.47%
