0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Soreng,6.14%,45.15%,48.71%,41.17%,30.88%,27.95%,29.38%,26.80%,43.82%,78.63%,21.37%,9.96%,90.04%,97.08%,1.09%,1.84%,Soreng,44.00%,56.00%,88.38%,11.62%,undefined%,undefined%,undefined%,86.78%,13.22%,88.35%,11.65%,74.94%,25.06%
Gyalshing,0.15%,71.06%,28.79%,0.31%,98.16%,1.53%,46.09%,50.54%,3.37%,82.82%,17.18%,39.05%,60.95%,98.62%,1.38%,0.00%,Gyalshing,100.00%,0.00%,20.10%,79.90%,undefined%,undefined%,undefined%,100.00%,0.00%,99.85%,0.15%,100.00%,0.00%
Gangtok,4.87%,71.48%,23.65%,0.10%,99.81%,0.10%,66.08%,33.78%,0.14%,76.25%,23.75%,31.92%,68.08%,99.76%,0.19%,0.05%,Gangtok,99.81%,0.19%,66.49%,33.51%,undefined%,undefined%,undefined%,97.90%,2.10%,98.23%,1.77%,84.48%,15.52%
Namchi,0.17%,39.45%,60.38%,32.08%,61.61%,6.30%,86.71%,5.86%,7.43%,90.97%,9.03%,1.50%,98.50%,95.68%,3.94%,0.38%,Namchi,99.12%,0.88%,90.41%,9.59%,undefined%,undefined%,undefined%,67.09%,32.91%,89.95%,10.05%,47.09%,52.91%
Mangan,0.00%,77.41%,22.59%,21.65%,77.18%,1.18%,62.12%,37.65%,0.24%,80.33%,19.67%,45.65%,54.35%,96.94%,2.59%,0.47%,Mangan,99.53%,0.47%,96.23%,3.77%,undefined%,undefined%,undefined%,73.65%,26.35%,98.82%,1.18%,87.59%,12.41%
Pakyong,1.72%,72.41%,25.86%,0.00%,100.00%,0.00%,60.34%,37.93%,1.72%,77.59%,22.41%,10.34%,89.66%,100.00%,0.00%,0.00%,Pakyong,100.00%,0.00%,98.28%,1.72%,undefined%,undefined%,undefined%,100.00%,0.00%,98.28%,1.72%,89.66%,10.34%
